ID,A.plus.pre.BB,A.minus.pre.BB,B.plus.pre.BB,B.minus.pre.BB,A.plus.mid.BB,A.minus.mid.BB,B.plus.mid.BB,B.minus.mid.BB,A.plus.mid.BB,A.minus.mid.BB,B.plus.mid.BB,B.minus.mid.BB,A.plus.pre.IS,A.minus.pre.IS,B.plus.pre.IS,B.minus.pre.IS,A.plus.mid.IS,A.minus.mid.IS,B.plus.mid.IS,B.minus.mid.IS,A.plus.mid.IS,A.minus.mid.IS,B.plus.mid.IS,B.minus.mid.IS,A.plus.pre.OC,A.minus.pre.OC,B.plus.pre.OC,B.minus.pre.OC,A.plus.mid.OC,A.minus.mid.OC,B.plus.mid.OC,B.minus.mid.OC,A.plus.mid.OC,A.minus.mid.OC,B.plus.mid.OC,B.minus.mid.OC,A.plus.pre.TC,A.minus.pre.TC,B.plus.pre.TC,B.minus.pre.TC,A.plus.mid.TC,A.minus.mid.TC,B.plus.mid.TC,B.minus.mid.TC,A.plus.mid.TC,A.minus.mid.TC,B.plus.mid.TC,B.minus.mid.TC
1,100,50,100,50,50,50,50,50,50,66,33,50,50,50,50,50,50,50,50,50,33,66,50,50,100,50,100,50,50,50,33,66,50,50,33,66,50,100,50,100,75,25,50,50,75,25,66,33
2,100,50,100,50,50,50,50,50,50,50,50,50,50,100,50,100,40,90,40,90,50,90,70,70,50,50,50,50,70,50,20,70,70,50,20,20,70,20,70,20,90,10,50,20,90,10,50,70
3,90,0,90,10,90,0,90,10,90,20,80,5,10,90,10,90,20,90,20,90,30,95,80,5,90,10,90,10,95,20,80,10,95,25,75,5,90,10,90,10,95,20,90,10,95,20,92,15
4,50,50,50,50,50,50,50,50,100,0,0,100,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
5,100,50,100,50,50,50,50,50,100,50,50,0,75,50,75,50,100,50,100,50,50,0,100,50,100,50,100,50,100,50,50,30,100,50,50,50,50,50,50,50,100,50,50,0,100,50,66,66
6,80,60,80,60,70,65,70,65,75,70,75,70,50,30,50,30,70,50,70,50,40,40,60,50,75,50,75,50,70,60,60,60,60,55,65,60,50,10,50,10,80,70,70,33,85,80,65,50
7,100,0,100,0,100,100,0,0,100,0,0,100,100,0,100,0,100,0,100,0,0,100,100,0,100,0,100,0,100,0,0,100,100,0,0,100,100,0,100,0,100,0,50,50,100,0,66,33
8,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,90,100,0,50,50,50,50,50,50,100,0,50,50,100,0,66,33
9,80,50,50,50,50,50,50,50,100,0,25,25,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,50,50
10,100,50,100,50,50,50,50,50,100,50,50,50,50,100,50,100,50,50,50,50,50,100,50,50,100,50,100,50,100,0,0,100,100,50,50,100,100,100,100,100,100,50,50,50,100,0,66,33
11,100,100,80,50,70,60,80,40,70,20,70,20,50,50,50,50,60,30,60,30,20,70,80,10,50,50,50,50,60,40,40,60,80,20,20,80,50,50,50,50,80,20,30,60,80,20,60,30
12,50,25,50,25,50,25,50,25,100,0,0,100,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,0,100,100,0,75,25
13,50,25,50,25,50,20,50,20,50,50,50,0,50,25,75,25,90,10,90,10,60,33,100,100,50,50,50,50,50,50,33,66,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
14,90,50,80,50,40,60,70,60,65,65,65,65,50,10,50,10,60,55,60,55,50,45,55,55,90,50,90,50,65,65,40,35,90,80,40,40,50,10,50,10,80,80,50,50,80,80,60,60
15,50,50,50,50,75,50,75,50,75,75,50,50,50,50,50,50,50,50,50,50,35,35,50,50,100,50,100,50,100,75,50,50,75,20,25,70,50,50,50,50,70,65,50,50,70,70,50,50
16,100,100,100,100,90,50,90,50,100,0,50,50,50,20,50,20,50,50,50,50,75,66,20,75,50,50,50,50,100,0,0,100,100,0,0,100,50,0,50,0,100,75,50,0,100,0,90,40
17,50,50,50,50,50,50,50,50,100,0,50,50,50,0,50,0,75,25,75,25,25,50,75,0,50,50,50,50,100,0,0,100,100,0,25,75,50,50,50,50,100,0,50,50,100,0,67,33
18,75,50,75,50,75,50,75,50,75,75,50,50,50,50,50,50,50,50,50,50,30,25,70,50,50,50,50,50,75,70,25,25,75,65,25,25,50,50,50,50,75,75,50,50,100,0,60,33
19,50,50,50,50,75,50,75,50,100,0,0,100,50,50,50,50,75,50,75,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,0,100,100,0,66,33
20,50,50,50,50,50,50,50,50,80,20,75,75,50,50,50,50,50,50,50,50,0,100,100,0,75,25,75,25,95,5,20,80,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
21,90,50,80,50,70,30,70,30,100,0,80,20,20,60,20,80,80,20,80,20,10,90,90,10,90,50,90,50,100,25,25,100,100,10,10,100,50,80,50,80,95,5,50,40,100,0,70,90
22,60,50,60,50,60,40,60,40,100,0,40,60,50,50,50,50,60,40,60,40,10,90,40,60,50,50,75,50,100,0,0,100,100,0,10,90,50,50,50,50,100,0,50,50,100,0,66,33
23,100,50,100,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,50,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,90,10,67,33
24,50,50,50,50,40,10,40,10,100,0,50,0,50,50,50,50,70,10,70,10,0,100,80,10,50,50,50,50,100,0,0,100,100,10,10,100,50,50,50,50,100,0,50,50,100,0,70,30
25,25,25,25,25,50,50,50,50,100,0,50,100,50,50,50,50,100,50,100,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
26,100,50,100,50,66,33,66,33,100,0,50,50,500,100,50,100,33,33,66,66,0,100,100,0,100,50,100,50,100,0,0,100,100,0,0,100,50,100,50,100,100,0,50,50,100,0,66,33
27,100,50,100,50,100,0,100,0,100,33,100,0,50,0,50,0,0,0,100,100,66,33,100,0,100,80,100,50,100,0,0,100,100,0,25,33,50,0,50,0,100,0,0,0,100,0,66,33
28,50,50,50,50,50,50,50,50,75,25,25,75,50,50,50,50,50,50,50,50,75,25,100,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,25,50,50,100,0,77,33
29,75,50,75,50,75,25,75,25,100,0,50,50,75,75,50,50,33,33,67,67,0,100,100,0,75,50,75,50,100,0,0,100,100,0,0,100,50,75,50,75,100,0,50,75,100,0,67,33
30,50,50,50,50,50,50,50,50,75,25,50,50,50,50,50,50,50,50,50,50,33,66,75,25,50,50,50,50,0,100,100,0,75,25,25,75,50,50,50,50,100,0,50,50,100,0,66,33
31,100,50,100,50,70,90,50,100,100,0,50,80,50,50,50,50,50,100,50,100,30,100,40,100,100,50,100,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,0,0,100,0,67,33
32,50,50,50,50,50,50,50,50,75,25,50,50,50,50,50,50,50,50,50,50,30,75,80,30,50,50,50,50,75,75,50,30,80,20,50,45,50,50,50,50,80,75,50,50,80,75,60,50
33,50,50,50,50,55,45,55,45,60,40,50,55,50,50,50,50,55,45,55,45,40,60,55,50,50,50,50,50,65,40,30,60,75,30,40,65,60,50,40,50,70,40,40,65,75,40,66,33
34,50,50,50,50,50,50,50,50,60,40,50,50,50,50,50,50,50,50,50,50,40,60,50,50,50,50,50,50,100,0,0,100,60,40,40,60,50,50,50,50,100,0,50,50,100,0,66,33
35,50,50,50,50,80,20,80,20,90,10,90,10,50,50,50,50,60,40,60,40,0,100,40,60,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,0,100,100,0,66,33
36,100,50,50,50,50,50,50,50,100,0,0,100,50,100,50,100,50,50,50,50,0,100,100,0,100,50,100,50,100,0,0,100,100,0,0,100,50,100,100,100,100,0,50,50,100,0,66,33
37,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
38,50,50,50,50,50,0,50,0,100,0,50,0,25,25,25,25,50,0,50,0,25,50,50,0,50,50,50,50,100,0,0,100,100,50,0,50,25,25,25,25,0,0,50,0,25,25,50,0
39,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
40,50,50,50,50,50,50,50,50,100,0,0,0,50,50,50,50,0,0,0,0,0,100,0,0,50,50,50,50,100,50,50,100,100,0,0,100,50,50,50,50,100,50,50,50,100,0,100,100
41,100,50,100,50,75,25,75,25,100,0,25,75,25,50,25,50,75,25,75,25,0,100,75,25,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
42,100,50,100,50,50,33,50,33,50,50,50,50,50,0,50,0,25,100,75,100,0,100,100,0,100,50,100,50,75,50,33,50,100,0,17,100,50,0,50,0,100,0,50,75,100,0,67,33
43,50,50,50,50,70,30,70,30,84,16,70,30,50,50,50,50,60,40,60,40,60,80,75,25,50,50,50,50,75,25,25,75,90,10,25,75,50,50,50,50,95,5,50,50,95,5,66,33
44,50,50,50,50,75,25,75,25,100,0,75,25,50,50,50,50,50,0,50,0,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
45,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,75,25,75,25,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
46,50,50,50,50,75,75,75,75,100,0,0,100,50,50,50,50,70,70,70,80,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
47,50,50,50,50,50,30,50,30,80,30,50,70,50,50,50,50,70,30,70,30,50,70,20,30,50,50,50,50,70,30,20,70,70,15,30,70,100,50,100,50,30,70,70,30,35,75,50,25
48,50,50,50,50,33,33,33,33,100,0,50,50,50,50,50,50,33,33,33,33,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,100,0,100,0,67,33
49,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,20,100,100,0,70,30
50,50,50,50,50,60,40,60,40,80,20,20,80,50,50,50,50,60,40,60,40,20,80,80,20,50,50,50,50,80,20,20,80,100,0,10,90,40,60,40,60,100,0,50,50,100,0,70,30
51,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,50,0,50,100,50,50,50,50,50,100,50,0,50,75,50,25
52,50,50,50,50,50,0,50,0,100,0,50,100,50,50,50,50,50,0,50,0,50,100,50,0,50,50,50,50,100,0,0,100,80,0,0,100,100,100,50,50,0,100,100,0,100,100,100,0
53,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
54,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
55,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
56,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
57,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
58,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
59,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
60,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,67,33
